Recipe Title,Original Full Recipe Link,Notes,Tags
"Advertise With Us","http://www.saveur.com/article/Recipes/Classic-Dry-Fry-Green-Bean","",""
"Angel Hair with Shrimp and Peas (Serves 3)","http://www.myrecipes.com/recipe/angel-hair-shrimp-peas-50400000129632/","",""
"Arroz con Pollo","http://www.myrecipes.com/recipe/arroz-con-pollo-10000000592349/","",""
"Asparagus & Spring Onion Tart with Arugula & Mache Salad","http://www.blueapron.com/recipes/asparagus-spring-onion-tart-with-arugula-frisee-salad","",""
"Avocado Honey Dip","http://weelicious.com/2011/09/19/avocado-honey-dip/","",""
"Baby Blue Salad With Fresh Pears","http://www.myrecipes.com/recipe/baby-blue-salad-with-fresh-pears-10000001860265/","",""
"Bacon-Cheddar Muffins","http://www.myrecipes.com/recipe/bacon-cheddar-muffins-10000001875202/","",""
"Baked Shells","http://weelicious.com/2009/11/02/baked-shells/","",""
"Baked Ziti (serves 4-6)","http://weelicious.com/2009/02/22/baked-ziti/","",""
"Banana Wheat Germ Muffins","http://weelicious.com/2009/05/17/banana-wee-eat-germ-muffins/","",""
"Beef and Mushroom Ragù With Pappardelle","http://www.realsimple.com/food-recipes/browse-all-recipes/beef-mushroom-ragu-00100000086755/index.html","",""
"Berry Delicious Oatmeal (for 2)","http://weelicious.com/2010/08/30/berry-delicious-oatmeal/","",""
"Beth's Melt in Your Mouth Barbecue Ribs (Oven)","http://www.food.com/recipe/beths-melt-in-your-mouth-barbecue-ribs-oven-107786","",""
"Pasta with Sausage and Broccoli Rabe (Serves 3)","http://www.myrecipes.com/recipe/pasta-sausage-broccoli-rabe-50400000124784/","","Sausage,dinner,pasta"
"Braised Bok Choy, a Simple Shanghainese Dish","http://www.tastehongkong.com/recipes/braised-bok-choy-a-simple-shanghainese-dish/","",""
"Braised Pork Chops with Sweet Potatoes and Apples (for 2)","http://www.myrecipes.com/recipe/braised-pork-chops-sweet-potatoes-50400000116326/","",""
"Breaded Baked Pork Chops","http://www.food.com/recipe/breaded-baked-pork-chops-65350","",""
"Breakfast Casserole (Serves 4 to 6)","http://weelicious.com/2010/12/09/breakfast-casserole/","",""
"Brisket with Root Vegetables","http://www.myrecipes.com/recipe/brisket-root-vegetables-50400000126392/","",""
"Brown Sugar-Pecan Shortbread","http://www.myrecipes.com/recipe/brown-sugar-pecan-shortbread-10000001622514/","","christmas,cookies"
"Buttermilk Fried Chicken (serves 4)","http://www.simplyrecipes.com/recipes/buttermilk_fried_chicken/","",""
"Butternut Squash Gratin","http://www.myrecipes.com/recipe/butternut-squash-gratin-50400000131174/","",""
"Butterscotch Bars","http://www.myrecipes.com/recipe/butterscotch-bars-10000001886427/","","christmas,cookies,dessert"
"Candied Sweet Potatoes","http://allrecipes.com/recipe/candied-sweet-potatoes-5/","",""
"Carrot Snack Sticks","http://weelicious.com/2010/06/03/carrot-snack-sticks/","",""
"Carrots Vichy","http://www.food.com/recipe/carrots-vichy-373052","",""
"Cauliflower-Cheese Soup","http://www.myrecipes.com/recipe/cauliflower-cheese-soup-50400000125967/","",""
"Chicken and Black Bean-Stuffed Burritos","http://www.myrecipes.com/recipe/chicken-black-bean-burritos-50400000108353/","",""
"Chicken Cobb Salad with Smoky Bacon, Avocado and Blue Cheese","http://www.blueapron.com/recipes/chicken-cobb-salad-with-smoky-bacon-avocado-and-blue-cheese","",""
"Chicken Curry","http://weelicious.com/2010/12/22/contest-winner-day-3-chicken-curry/","",""
"Chicken Skewers with Peanut Sauce","http://www.myrecipes.com/recipe/chicken-skewers-peanut-sauce-50400000129365/","",""
"Chicken with Peanut-Butter Barbecue Sauce","http://www.myrecipes.com/recipe/chicken-peanut-butter-barbecue-50400000133915/","",""
"Chicken With Potatoes, Bacon, and Cabbage (serves 2)","http://www.realsimple.com/food-recipes/browse-all-recipes/chicken-potatoes-bacon-cabbage-00100000066432/index.html","",""
"Chicken-Butternut Tagine (serves 2)","http://www.myrecipes.com/recipe/chicken-butternut-tagine-10000001932643/","",""
"Chipotle Sweet Potatoes","http://www.myrecipes.com/recipe/chipotle-sweet-potatoes-50400000131175/","",""
"Classic Parmesan Scalloped Potatoes","http://www.myrecipes.com/recipe/classic-parmesan-scalloped-potatoes-10000001673167/","",""
"Classic Tuna Salad","http://fishcooking.about.com/od/smokebrine/r/tunafish.htm","","leftovers,lunch,sandwich,tuna"
"Crispy Breaded Shrimp with Garlicky Beans","http://www.myrecipes.com/recipe/crispy-breaded-shrimp-with-garlicky-beans-10000001707662/","",""
"Crumb-Topped Strawberry Rhubarb Pie","http://allrecipes.com/recipe/crumb-topped-strawberry-rhubarb-pie/","",""
"Curried Chicken Salad","http://www.foodnetwork.com/recipes/ina-garten/curried-chicken-salad-recipe/index.html","",""
"Curried Lentil Soup","http://www.myrecipes.com/recipe/curried-lentil-soup-50400000125961/","",""
"Curry Roasted Cauliflower","http://budgetbytes.blogspot.com/2011/10/curry-roasted-cauliflower-377-recipe.html","",""
"Double-Ginger Cookies","http://www.myrecipes.com/recipe/double-ginger-cookies-10000000364841/","","christmas,cookies"
